date,eur_inr
2022-12-30,88.171
2023-01-02,88.426
2023-01-03,87.4095
2023-01-04,87.791
2023-01-05,87.4755
2023-01-06,86.9103
2023-01-09,88.078
2023-01-10,87.703
2023-01-11,87.812
2023-01-12,87.783
2023-01-13,88.096
2023-01-16,88.2795
2023-01-17,88.577
2023-01-18,88.142
2023-01-19,88.046
2023-01-20,87.817
2023-01-23,88.452
2023-01-24,88.6235
2023-01-25,88.7258
2023-01-26,88.8255
2023-01-27,88.672
2023-01-30,88.8885
2023-01-31,88.636
2023-02-01,89.106
2023-02-02,90.3015
2023-02-03,89.592
2023-02-06,89.0922
2023-02-07,88.5096
2023-02-08,88.594
2023-02-09,88.8905
2023-02-10,88.2475
2023-02-13,88.395
2023-02-14,89.1227
2023-02-15,88.6415
2023-02-16,88.4574
2023-02-17,88.021
2023-02-20,88.306
2023-02-21,88.2835
2023-02-22,88.238
2023-02-23,87.6695
2023-02-24,87.4845
2023-02-27,87.336
2023-02-28,87.7205
2023-03-01,88.0848
2023-03-02,87.5365
2023-03-03,86.9185
2023-03-06,87.1445
2023-03-07,87.2625
2023-03-08,86.421
2023-03-09,86.6215
2023-03-10,86.9375
2023-03-13,88.046
2023-03-14,88.431
2023-03-15,87.3125
2023-03-16,87.7298
2023-03-17,87.787
2023-03-20,88.49
2023-03-21,89.0308
2023-03-22,89.08
2023-03-23,89.481
2023-03-24,88.565
2023-03-27,88.6672
2023-03-28,89.064
2023-03-29,89.2985
2023-03-30,89.3575
2023-03-31,89.3995
2023-04-03,89.471
2023-04-04,89.59
2023-04-05,89.7215
2023-04-06,89.3655
2023-04-11,89.5205
2023-04-12,89.6875
2023-04-13,90.1665
2023-04-14,90.3595
2023-04-17,90.0607
2023-04-18,89.9955
2023-04-19,89.8985
2023-04-20,89.9365
2023-04-21,90.109
2023-04-24,90.1255
2023-04-25,90.331
2023-04-26,90.2465
2023-04-27,90.3185
2023-04-28,89.8555
2023-05-02,89.7515
2023-05-03,90.3465
2023-05-04,90.5495
2023-05-05,90.001
2023-05-08,90.2775
2023-05-09,89.9495
2023-05-10,89.8185
2023-05-11,89.6905
2023-05-12,89.52
2023-05-15,89.499
2023-05-16,89.4655
2023-05-17,89.1878
2023-05-18,89.2915
2023-05-19,89.4215
2023-05-22,89.671
2023-05-23,89.2675
2023-05-24,89.1473
2023-05-25,88.8055
2023-05-26,88.8049
2023-05-29,88.52
2023-05-30,88.7985
2023-05-31,88.34
2023-06-01,88.207
2023-06-02,88.638
2023-06-05,88.3255
2023-06-06,88.2295
2023-06-07,88.416
2023-06-08,88.617
2023-06-09,88.89
2023-06-12,88.733
2023-06-13,88.863
2023-06-14,88.6945
2023-06-15,88.9825
2023-06-16,89.7953
2023-06-19,89.5125
2023-06-20,89.7525
2023-06-21,89.5765
2023-06-22,90.03
2023-06-23,89.2205
2023-06-26,89.5565
2023-06-27,89.7945
2023-06-28,89.7465
2023-06-29,89.7065
2023-06-30,89.2065
2023-07-03,89.3225
2023-07-04,89.358
2023-07-05,89.5175
2023-07-06,89.849
2023-07-07,90.0465
2023-07-10,90.4985
2023-07-11,90.5655
2023-07-12,90.7173
2023-07-13,91.7935
2023-07-14,92.1985
2023-07-17,92.1073
2023-07-18,92.3335
2023-07-19,92.1095
2023-07-20,91.781
2023-07-21,91.175
2023-07-24,90.78
2023-07-25,90.4445
2023-07-26,90.7231
2023-07-27,91.1385
2023-07-28,90.501
2023-07-31,90.669
2023-08-01,90.2555
2023-08-02,90.675
2023-08-03,90.4965
2023-08-04,90.73
2023-08-07,90.8738
2023-08-08,90.6614
2023-08-09,90.8795
2023-08-10,91.0983
2023-08-11,91.097
2023-08-14,90.818
2023-08-15,91.0615
2023-08-16,90.8435
2023-08-17,90.4995
2023-08-18,90.2825
2023-08-21,90.6615
2023-08-22,90.322
2023-08-23,89.3258
2023-08-24,89.5195
2023-08-25,89.304
2023-08-28,89.304
2023-08-29,89.4335
2023-08-30,90.0188
2023-08-31,89.9293
2023-09-01,89.697
2023-09-04,89.3045
2023-09-05,89.0965
2023-09-06,89.341
2023-09-07,89.0955
2023-09-08,88.861
2023-09-11,88.9735
2023-09-12,88.826
2023-09-13,89.0805
2023-09-14,89.053
2023-09-15,88.615
2023-09-18,88.8295
2023-09-19,89.1438
2023-09-20,88.9123
2023-09-21,88.3718
2023-09-22,88.2975
2023-09-25,88.377
2023-09-26,88.2995
2023-09-27,87.6505
2023-09-28,87.6395
2023-09-29,88.0165
2023-10-02,87.575
2023-10-03,87.1175
2023-10-04,87.3975
2023-10-05,87.627
2023-10-06,87.834
2023-10-09,87.7205
2023-10-10,88.0845
2023-10-11,88.198
2023-10-12,88.3925
2023-10-13,87.634
2023-10-16,87.7315
2023-10-17,87.9585
2023-10-18,87.954
2023-10-19,87.87
2023-10-20,87.983
2023-10-23,88.101
2023-10-24,88.3058
2023-10-25,87.9665
2023-10-26,87.7355
2023-10-27,87.751
2023-10-30,88.305
2023-10-31,88.4195
2023-11-01,87.7525
2023-11-02,88.704
2023-11-03,89.0545
2023-11-06,89.396
2023-11-07,88.9765
2023-11-08,88.876
2023-11-09,89.053
2023-11-10,88.9803
2023-11-13,88.844
2023-11-14,89.1958
2023-11-15,90.2937
2023-11-16,90.3145
2023-11-17,90.5065
2023-11-20,91.106
2023-11-21,91.2425
2023-11-22,90.903
2023-11-23,90.815
2023-11-24,91.039
2023-11-27,91.2743
2023-11-28,91.255
2023-11-29,91.528
2023-11-30,91.1143
2023-12-01,90.6125
2023-12-04,90.62
2023-12-05,90.1885
2023-12-06,89.8275
2023-12-07,89.794
2023-12-08,89.8875
2023-12-11,89.6798
2023-12-12,90.0765
2023-12-13,89.9635
2023-12-14,90.993
2023-12-15,90.941
2023-12-18,90.79
2023-12-19,91.1835
2023-12-20,91.0595
2023-12-21,91.4335
2023-12-22,91.628
2023-12-27,92.186
2023-12-28,92.449
2023-12-29,91.9045
2024-01-02,91.285
2024-01-03,90.965
2024-01-04,91.1745
2024-01-05,90.81
2024-01-08,90.9655
2024-01-09,90.9195
2024-01-10,90.8755
2024-01-11,91.209
2024-01-12,90.735
2024-01-15,90.698
2024-01-16,90.425
2024-01-17,90.4265
2024-01-18,90.4295
2024-01-19,90.4485
2024-01-22,90.5305
2024-01-23,90.3655
2024-01-24,90.6274
2024-01-25,90.5475
2024-01-26,90.369
2024-01-29,89.9995
2024-01-30,90.1575
2024-01-31,90.001
2024-02-01,89.733
2024-02-02,90.232
2024-02-05,89.2515
2024-02-06,89.2155
2024-02-07,89.422
2024-02-08,89.2765
2024-02-09,89.4363
2024-02-12,89.4321
2024-02-13,89.579
2024-02-14,88.956
2024-02-15,89.221
2024-02-16,89.3815
2024-02-19,89.462
2024-02-20,89.6045
2024-02-21,89.632
2024-02-22,89.871
2024-02-23,89.817
2024-02-26,89.9375
2024-02-27,89.9755
2024-02-28,89.5955
2024-02-29,89.7458
2024-03-01,89.6135
2024-03-04,89.9399
2024-03-05,89.9525
2024-03-06,90.056
2024-03-07,90.1205
2024-03-08,90.4365
2024-03-11,90.4095
2024-03-12,90.356
2024-03-13,90.594
2024-03-14,90.522
2024-03-15,90.259
2024-03-18,90.285
2024-03-19,90.1065
2024-03-20,90.24
2024-03-21,90.656
2024-03-22,90.409
2024-03-25,90.368
2024-03-26,90.4365
2024-03-27,90.134
2024-03-28,90.1365
2024-04-02,89.649
2024-04-03,90.0055
2024-04-04,90.5116
2024-04-05,90.3283
2024-04-08,90.159
2024-04-09,90.4135
2024-04-10,90.3585
2024-04-11,89.4385
2024-04-12,88.914
2024-04-15,88.895
2024-04-16,88.8975
2024-04-17,89.008
2024-04-18,89.188
2024-04-19,88.9228
2024-04-22,88.628
2024-04-23,88.9475
2024-04-24,89.0435
2024-04-25,89.3155
2024-04-26,89.3191
2024-04-29,89.461
2024-04-30,89.4155
2024-05-02,89.2938
2024-05-03,89.671
2024-05-06,89.9875
2024-05-07,89.898
2024-05-08,89.7015
2024-05-09,89.607
2024-05-10,90.0185
2024-05-13,90.133
2024-05-14,90.16
2024-05-15,90.4445
2024-05-16,90.73
2024-05-17,90.3883
2024-05-20,90.4715
2024-05-21,90.5115
2024-05-22,90.2135
2024-05-23,90.3445
2024-05-24,90.104
2024-05-27,90.1393
2024-05-28,90.515
2024-05-29,90.529
2024-05-30,90.073
2024-05-31,90.5255
2024-06-03,90.125
2024-06-04,90.6925
2024-06-05,90.708
2024-06-06,90.7135
2024-06-07,90.889
2024-06-10,89.8004
2024-06-11,89.6748
2024-06-12,89.949
2024-06-13,90.112
2024-06-14,89.266
2024-06-17,89.4895
2024-06-18,89.3885
2024-06-19,89.682
2024-06-20,89.6225
2024-06-21,89.315
2024-06-24,89.5833
2024-06-25,89.3855
2024-06-26,89.323
2024-06-27,89.242
2024-06-28,89.2495
2024-07-01,89.6575
2024-07-02,89.5417
2024-07-03,89.836
2024-07-04,90.199
2024-07-05,90.3685
2024-07-08,90.4705
2024-07-09,90.291
2024-07-10,90.4015
2024-07-11,90.7165
2024-07-12,90.9585
2024-07-15,91.168
2024-07-16,91.1115
2024-07-17,91.3642
2024-07-18,91.4125
2024-07-19,91.117
2024-07-22,91.0885
2024-07-23,90.9075
2024-07-24,90.808
2024-07-25,90.8915
2024-07-26,90.9495
2024-07-29,90.574
2024-07-30,90.6235
2024-07-31,90.625
2024-08-01,90.3485
2024-08-02,90.728
2024-08-05,92.2765
2024-08-06,91.5925
2024-08-07,91.695
2024-08-08,91.759
2024-08-09,91.655
2024-08-12,91.7375
2024-08-13,91.761
2024-08-14,92.5025
2024-08-15,92.4385
2024-08-16,92.2775
2024-08-19,92.6085
2024-08-20,92.8445
2024-08-21,93.2585
2024-08-22,93.478
2024-08-23,93.309
2024-08-26,93.6635
2024-08-27,93.674
2024-08-28,93.3565
2024-08-29,93.023
2024-08-30,92.9485
2024-09-02,92.8075
2024-09-03,92.669
2024-09-04,92.7985
2024-09-05,93.1987
2024-09-06,93.206
2024-09-09,92.711
2024-09-10,92.6325
2024-09-11,92.743
2024-09-12,92.49
2024-09-13,92.988
2024-09-16,93.302
2024-09-17,93.305
2024-09-18,93.1315
2024-09-19,93.325
2024-09-20,93.274
2024-09-23,92.8955
2024-09-24,93.151
2024-09-25,93.575
2024-09-26,93.297
2024-09-27,93.384
2024-09-30,93.813
2024-10-01,92.931
2024-10-02,92.979
2024-10-03,92.723
2024-10-04,92.6095
2024-10-07,92.2458
2024-10-08,92.2065
2024-10-09,91.9995
2024-10-10,91.7985
2024-10-11,91.9575
2024-10-14,91.729
2024-10-15,91.622
2024-10-16,91.55
2024-10-17,91.324
2024-10-18,91.198
2024-10-21,91.244
2024-10-22,90.971
2024-10-23,90.537
2024-10-24,90.796
2024-10-25,91.027
2024-10-28,90.958
2024-10-29,90.57
2024-10-30,90.943
2024-10-31,91.493
2024-11-01,91.4955
2024-11-04,91.718
2024-11-05,91.6565
2024-11-06,90.181
2024-11-07,90.9355
2024-11-08,90.89
2024-11-11,89.8935
2024-11-12,89.5888
2024-11-13,89.6915
2024-11-14,88.9645
2024-11-15,89.3465
2024-11-18,89.0765
2024-11-19,89.2935
2024-11-20,89.1025
2024-11-21,88.9158
2024-11-22,87.929
2024-11-25,88.4595
2024-11-26,88.6999
2024-11-27,88.894
2024-11-28,89.0495
2024-11-29,89.3245
2024-12-02,89.001
2024-12-03,89.017
2024-12-04,88.9315
2024-12-05,89.2543
2024-12-06,89.613
2024-12-09,89.689
2024-12-10,89.3525
2024-12-11,89.1495
2024-12-12,89.044
2024-12-13,89.191
2024-12-16,89.123
2024-12-17,89.14
2024-12-18,89.161
2024-12-19,88.481
2024-12-20,88.355
2024-12-23,88.4635
2024-12-24,88.5275
2024-12-27,89.21
2024-12-30,89.2685
2024-12-31,88.9335
2025-01-02,88.507
2025-01-03,88.3335
2025-01-06,89.2605
2025-01-07,89.112
2025-01-08,88.352
2025-01-09,88.474
2025-01-10,88.6265
2025-01-13,88.4165
2025-01-14,88.6925
2025-01-15,89.0145
2025-01-16,88.943
2025-01-17,89.198
2025-01-20,89.2735
2025-01-21,89.686
2025-01-22,90.209
2025-01-23,89.9285
2025-01-24,90.33
2025-01-27,90.88
2025-01-28,90.1955
2025-01-29,89.9945
2025-01-30,90.097
2025-01-31,89.9945
2025-02-03,89.4513
2025-02-04,90.011
2025-02-05,91.0595
2025-02-06,90.76
2025-02-07,90.8135
2025-02-10,90.274
2025-02-11,89.548
2025-02-12,90.101
2025-02-13,90.3771
2025-02-14,90.81
2025-02-17,90.992
2025-02-18,90.85
2025-02-19,90.642
2025-02-20,90.426
2025-02-21,90.6598
2025-02-24,90.7663
2025-02-25,91.5198
2025-02-26,91.3495
2025-02-27,91.311
2025-02-28,90.971
2025-03-03,91.353
2025-03-04,91.9903
2025-03-05,93.0873
2025-03-06,94.008
2025-03-07,94.4435
2025-03-10,94.6938
2025-03-11,95.1455
2025-03-12,94.9275
2025-03-13,94.27
2025-03-14,94.6655
2025-03-17,94.631
2025-03-18,94.5045
2025-03-19,94.0605
2025-03-20,93.551
2025-03-21,93.14
2025-03-24,92.6195
2025-03-25,92.7728
2025-03-26,92.4014
2025-03-27,92.462
2025-03-28,92.346
2025-03-31,92.3955
2025-04-01,92.384
2025-04-02,92.362
2025-04-03,94.6325
2025-04-04,94.426
2025-04-07,94.059
2025-04-08,94.4125
2025-04-09,95.733
2025-04-10,95.484
2025-04-11,97.685
2025-04-14,97.8348
2025-04-15,97.2557
2025-04-16,97.2595
2025-04-17,97.0185
2025-04-22,97.785
2025-04-23,97.4838
2025-04-24,97.0793
2025-04-25,97.0205
2025-04-28,96.5725
2025-04-29,96.8227
2025-04-30,96.136
2025-05-02,95.6221
2025-05-05,95.6155
2025-05-06,95.5585
2025-05-07,96.2925
2025-05-08,96.592
2025-05-09,96.0755
2025-05-12,94.242
2025-05-13,94.829
2025-05-14,95.7558
2025-05-15,95.647
2025-05-16,95.82
2025-05-19,96.2175
2025-05-20,96.184
2025-05-21,96.8675
2025-05-22,97.2295
2025-05-23,96.552
2025-05-26,96.839
2025-05-27,96.9785
2025-05-28,96.6375
2025-05-29,96.4173
2025-05-30,97.0248
2025-06-02,97.4995
2025-06-03,97.4915
2025-06-04,97.779
2025-06-05,98.04
2025-06-06,97.836
2025-06-09,97.744
2025-06-10,97.8069
2025-06-11,97.796
2025-06-12,99.1718
2025-06-13,99.11
2025-06-16,99.5785
2025-06-17,99.777
2025-06-18,99.456
2025-06-19,99.5585
2025-06-20,99.7375
2025-06-23,99.535
2025-06-24,99.8517
2025-06-25,99.859
2025-06-26,100.276
2025-06-27,100.078
2025-06-30,100.5605
2025-07-01,101.0525
2025-07-02,100.7005
2025-07-03,100.5915
2025-07-04,100.498
2025-07-07,100.7765
2025-07-08,100.3895
2025-07-09,100.27
2025-07-10,100.4195
2025-07-11,100.266
2025-07-14,100.536
2025-07-15,100.1605
2025-07-16,99.7735
2025-07-17,99.6725
2025-07-18,100.351
2025-07-21,100.666
2025-07-22,101.1091
2025-07-23,101.3375
2025-07-24,101.563
2025-07-25,101.424
2025-07-28,101.0355
2025-07-29,100.163
2025-07-30,100.848
2025-07-31,100.295
2025-08-01,99.79
2025-08-04,101.3745
2025-08-05,101.3495
2025-08-06,101.7935
2025-08-07,101.8715
2025-08-08,102.0605
2025-08-11,101.9695
2025-08-12,101.7913
2025-08-13,102.4105
2025-08-14,102.371
2025-08-15,102.225
2025-08-18,101.9985
2025-08-19,101.7358
2025-08-20,101.4305
2025-08-21,101.566
2025-08-22,101.613
2025-08-25,102.4185
2025-08-26,102.127
2025-08-27,101.739
2025-08-28,102.2535
2025-08-29,102.8035
2025-09-01,103.3225
2025-09-02,102.5795
2025-09-03,102.582
2025-09-04,102.6255
2025-09-05,103.221
2025-09-08,103.2455
2025-09-09,103.5465
2025-09-10,103.1625
2025-09-11,103.331
2025-09-12,103.4388
2025-09-15,103.7145
2025-09-16,103.9615
2025-09-17,103.9895
2025-09-18,104.1335
2025-09-19,103.465
2025-09-22,103.998
2025-09-23,104.6918
2025-09-24,104.2845
2025-09-25,104.1115
2025-09-26,103.5495
2025-09-29,104.0423
2025-09-30,104.2548
2025-10-01,104.022
2025-10-02,104.2798
2025-10-03,104.183
2025-10-06,103.678
2025-10-07,103.5425
2025-10-08,103.1975
2025-10-09,103.1025
2025-10-10,102.6203
2025-10-13,102.606
2025-10-14,102.5828
2025-10-15,102.3415
2025-10-16,102.4265
2025-10-17,102.787
2025-10-20,102.4515
2025-10-21,102.1073
2025-10-22,102.4452
2025-10-23,101.8109
2025-10-24,101.958
2025-10-27,102.717
2025-10-28,102.7108
2025-10-29,102.666
2025-10-30,102.4688
2025-10-31,102.507
2025-11-03,102.2145
2025-11-04,101.9355
2025-11-05,101.867
2025-11-06,102.1525
2025-11-07,102.518
2025-11-10,102.611
2025-11-11,102.43
2025-11-12,102.5675
2025-11-13,103.0475
2025-11-14,103.2865
2025-11-17,102.7195
2025-11-18,102.644
2025-11-19,102.5145
2025-11-20,102.144
2025-11-21,103.2628
2025-11-24,102.914
2025-11-25,103.0343
2025-11-26,103.2665
2025-11-27,103.5815
2025-11-28,103.4905
2025-12-01,104.2823
2025-12-02,104.4705
2025-12-03,105.2075
2025-12-04,104.843
2025-12-05,104.733
2025-12-08,104.945
2025-12-09,104.55
2025-12-10,104.6008
2025-12-11,105.8005
2025-12-12,106.1955
2025-12-15,106.653
2025-12-16,107.069
2025-12-17,105.9275
2025-12-18,105.7785
2025-12-19,105.054
2025-12-22,105.29
2025-12-23,105.5479
2025-12-24,105.7755
2025-12-29,105.776
2025-12-30,105.58
2025-12-31,105.5965
2026-01-02,105.719
2026-01-05,105.316
2026-01-06,105.5405
2026-01-07,104.9835
2026-01-08,104.988
2026-01-09,105.0335
2026-01-12,105.419
2026-01-13,105.1478
2026-01-14,105.2118
2026-01-15,104.9647
2026-01-16,105.397
2026-01-19,105.6965
2026-01-20,106.677
2026-01-21,107.5775
2026-01-22,107.216
